controller,status,final_score,total_steps,training_time,completion_ts,mean_tau,final_tau,mean_kl,final_kl,min_meta_loss,final_meta_loss,points
fixed,completed,0.324597,1566,None,2026-05-31T00:00:00Z,0.5,0.5,0.3772002017009764,0.14310988858585894,0.44667171254804017,0.44667171254804017,200
rule_based,completed,0.34879,unknown,104m 56s,2026-06-05T11:31:59.126676Z,0.5054577732847133,0.6735288201283335,0.375301093587194,0.15426570504409653,0.4452018999101947,0.46042405675233766,200
mlp_based,completed,0.342742,unknown,0m 0s,2026-06-03T17:56:41.031168Z,0.49846377111168133,0.699998926043158,0.3751755837030557,0.16886053917154423,0.42643949578663654,0.42643949578663654,200
lstm_based,failed,0.367,unknown,0m 0s,2026-08-20T07:02:19.245207Z,0.3541166808504166,0.22524021826180962,0.37474335777260526,0.15674872630416228,0.44353796268694506,0.4798504729916685,200
